PAS ID,Make,Model,Variant,Transmission,Fuel,Cubic Capacity
1009304,Ashok Leyland,Stile,LS,Manual,DIESEL,1461
1009302,Ashok Leyland,Stile,LX,Manual,DIESEL,1461
1009303,Ashok Leyland,Stile,LE,Manual,DIESEL,1461
1005754,Aston Martin,DB9,Coupe,Manual,PETROL,5935
1005759,Aston Martin,DBS,Coupe,Manual,PETROL,5935
1005758,Aston Martin,Rapide,6.0 S,Manual,PETROL,5935
1005751,Aston Martin,Vanquish,6.0 V12 Touchtronic,Manual,PETROL,5935
1005752,Aston Martin,Vantage V8,Coupe,Manual,PETROL,4735
1005753,Aston Martin,Vantage V8,S Coupe Sportshift,Manual,PETROL,4735
1005755,Aston Martin,Virage,6.0 V12 Volante,Manual,PETROL,5935
1005757,Aston Martin,Rapide,6.0 RHD,Manual,PETROL,5935
1005756,Aston Martin,Rapide,6.0 RHD Touchtronic,Manual,PETROL,5935
1005769,Audi,Q3,2.0 TDI S,Manual,DIESEL,1968
1005793,Audi,Q3,2.0 TDI Quattro Base,Manual,DIESEL,1968
1005761,Audi,A4,2.0 TDI Premium Plus,Manual,DIESEL,1968
1005815,Audi,A4,3.0 TDI Quattro,Manual,DIESEL,2967
1005839,Audi,Q5,2.0 TDI Quattro Premium Plus,Manual,DIESEL,1968
1005816,Audi,A6,2.0 TDI,Manual,DIESEL,1968
1005862,Audi,A6,3.0 TDI Quattro,Manual,DIESEL,2967
1005836,Audi,A6,2.0 TFSI Premium,Manual,PETROL,1984
1005870,Audi,Q7,3.0 TDI Quattro Premium Plus,Manual,DIESEL,2967
1005866,Audi,Q7,3.0 TDI Quattro Technology Pack,Manual,DIESEL,2967
1005831,Audi,Q5,2.0 TDI Quattro,Manual,DIESEL,1984
1005880,Audi,Q7,3.0 TFSI,Manual,PETROL,2995
1005875,Audi,Q7,4.2 TDI,Manual,DIESEL,4134
1005828,Audi,Q5,2.0 TFSI Quattro,Manual,PETROL,1984
1005796,Audi,A3,Premium,Manual,DIESEL,1968
1005794,Audi,A4,1.8 Multitronic,Manual,PETROL,1781
1005797,Audi,A4,1.8 TFSI,Manual,PETROL,1798
1005802,Audi,A4,2.0 TDI,Manual,DIESEL,1968
1005773,Audi,A4,2.0 TDI Multitronic,Manual,DIESEL,1968
1005804,Audi,A4,2.0 TFSI,Manual,PETROL,1968
1005811,Audi,A4,3.2 FSI Quattro,Manual,PETROL,3197
1005819,Audi,A6,2.0 TDI Premium Edition,Manual,DIESEL,1968
1005840,Audi,A6,2.0 TDI Premium Plus Edition,Manual,DIESEL,1968
1005818,Audi,A6,2.0 TDI Technology Pack,Manual,DIESEL,1968
1005851,Audi,A6,2.0 TFSI,Manual,PETROL,1984
1005858,Audi,A6,2.0 TFSI Premium Plus,Manual,PETROL,1984
1005770,Audi,A6,2.0 TFSI Technology Pack,Manual,PETROL,1984
1005823,Audi,A6,2.8 FSI,Manual,PETROL,2773
1005871,Audi,A6,3.0 TDI Premium Edition,Manual,DIESEL,2967
1005762,Audi,A6,3.0 TDI Premium Plus Edition,Manual,DIESEL,2967
1005857,Audi,A6,3.0 TDI Technology Pack,Manual,DIESEL,2967
1005843,Audi,A6,3.0 TFSI Quattro,Manual,PETROL,2995
1005844,Audi,A6,3.2 TFSI Quattro,Manual,PETROL,3132
1005868,Audi,A7,3.0 V6 TDI Sportback Quattro,Manual,DIESEL,2967
1005812,Audi,A8,3.0 TDI Quattro,Manual,DIESEL,2967
1005889,Audi,A8,6.0 Quattro AT,Manual,PETROL,5998
1005774,Audi,A8,L 3.0 TDI Quattro,Manual,DIESEL,2967
1005893,Audi,A8,L 4.0 TFSI Quattro Standard,Manual,PETROL,3993
1005781,Audi,A8,L 4.2 TDI Quattro,Manual,DIESEL,4134
1005790,Audi,Q3,2.0 TDI,Manual,DIESEL,1968
1005814,Audi,Q3,2.0 TDI Q Premium Plus,Manual,DIESEL,1968
1005800,Audi,Q3,2.0 TFSI Quattro Base,Manual,PETROL,1984
1005838,Audi,Q5,2.0 TDI Quattro Premium Edition,Manual,DIESEL,1968
1005864,Audi,Q7,3.0 TDI,Manual,DIESEL,2967
1005873,Audi,Q7,3.6 FSI Tiptronic Quattro,Manual,PETROL,3597
1005882,Audi,Q7,4.2 FSI Tiptronic Quattro,Manual,PETROL,4163
1005892,Audi,R8,4.2 V8 FSI Standard,Manual,PETROL,4163
1005900,Audi,R8,5.2 FSI Quattro V10,Manual,PETROL,5204
1005901,Audi,R8,5.2 FSI Quattro V10 Plus,Manual,PETROL,5204
1005778,Audi,R8,5.2 FSI Quattro V10 Plus Spyder,Manual,PETROL,5204
1005881,Audi,RS5,4.2 FSI,Manual,PETROL,4163
1005899,Audi,RS7,4.0 V8 TFSI Sportback,Manual,PETROL,3993
1005837,Audi,S4,3.0 TFSI Quattro,Manual,PETROL,2995
1005886,Audi,S6,4.0 TFSI Quattro,Manual,PETROL,3993
